crawl_time,area_id,district,filter_type,filter_name,page,url,status,new_count
2026-07-01T19:34:59,1,渝中,price,200-250万,10,https://m.daojiale.com/cq/ershoufangPage?pageNo=10&areaId=1&saletotal=200-250,ok,20
2026-07-01T19:35:00,1,渝中,price,200-250万,11,https://m.daojiale.com/cq/ershoufangPage?pageNo=11&areaId=1&saletotal=200-250,ok,19
2026-07-01T19:35:01,1,渝中,price,200-250万,12,https://m.daojiale.com/cq/ershoufangPage?pageNo=12&areaId=1&saletotal=200-250,ok,20
2026-07-01T19:35:02,1,渝中,price,200-250万,13,https://m.daojiale.com/cq/ershoufangPage?pageNo=13&areaId=1&saletotal=200-250,ok,20
2026-07-01T19:35:03,1,渝中,price,200-250万,14,https://m.daojiale.com/cq/ershoufangPage?pageNo=14&areaId=1&saletotal=200-250,ok,20
2026-07-01T19:35:04,1,渝中,price,200-250万,15,https://m.daojiale.com/cq/ershoufangPage?pageNo=15&areaId=1&saletotal=200-250,ok,20
2026-07-01T19:35:05,1,渝中,price,200-250万,16,https://m.daojiale.com/cq/ershoufangPage?pageNo=16&areaId=1&saletotal=200-250,ok,20
2026-07-01T19:35:06,1,渝中,price,200-250万,17,https://m.daojiale.com/cq/ershoufangPage?pageNo=17&areaId=1&saletotal=200-250,ok,11
2026-07-01T19:35:07,1,渝中,price,250-350万,1,https://m.daojiale.com/cq/ershoufangPage?pageNo=1&areaId=1&saletotal=250-350,ok,14
2026-07-01T19:35:09,1,渝中,price,250-350万,2,https://m.daojiale.com/cq/ershoufangPage?pageNo=2&areaId=1&saletotal=250-350,ok,20
2026-07-01T19:35:10,1,渝中,price,250-350万,3,https://m.daojiale.com/cq/ershoufangPage?pageNo=3&areaId=1&saletotal=250-350,ok,20
2026-07-01T19:35:11,1,渝中,price,250-350万,4,https://m.daojiale.com/cq/ershoufangPage?pageNo=4&areaId=1&saletotal=250-350,ok,16
2026-07-01T19:35:12,1,渝中,price,250-350万,5,https://m.daojiale.com/cq/ershoufangPage?pageNo=5&areaId=1&saletotal=250-350,ok,19
2026-07-01T19:35:13,1,渝中,price,250-350万,6,https://m.daojiale.com/cq/ershoufangPage?pageNo=6&areaId=1&saletotal=250-350,ok,16
2026-07-01T19:35:14,1,渝中,price,250-350万,7,https://m.daojiale.com/cq/ershoufangPage?pageNo=7&areaId=1&saletotal=250-350,ok,19
2026-07-01T19:35:16,1,渝中,price,250-350万,8,https://m.daojiale.com/cq/ershoufangPage?pageNo=8&areaId=1&saletotal=250-350,ok,19
2026-07-01T19:35:17,1,渝中,price,250-350万,9,https://m.daojiale.com/cq/ershoufangPage?pageNo=9&areaId=1&saletotal=250-350,ok,17
2026-07-01T19:35:18,1,渝中,price,250-350万,10,https://m.daojiale.com/cq/ershoufangPage?pageNo=10&areaId=1&saletotal=250-350,ok,19
2026-07-01T19:35:19,1,渝中,price,250-350万,11,https://m.daojiale.com/cq/ershoufangPage?pageNo=11&areaId=1&saletotal=250-350,ok,17
2026-07-01T19:35:20,1,渝中,price,250-350万,12,https://m.daojiale.com/cq/ershoufangPage?pageNo=12&areaId=1&saletotal=250-350,ok,19
2026-07-01T19:35:21,1,渝中,price,250-350万,13,https://m.daojiale.com/cq/ershoufangPage?pageNo=13&areaId=1&saletotal=250-350,ok,20
2026-07-01T19:35:22,1,渝中,price,250-350万,14,https://m.daojiale.com/cq/ershoufangPage?pageNo=14&areaId=1&saletotal=250-350,ok,20
2026-07-01T19:35:23,1,渝中,price,250-350万,15,https://m.daojiale.com/cq/ershoufangPage?pageNo=15&areaId=1&saletotal=250-350,ok,20
2026-07-01T19:35:24,1,渝中,price,250-350万,16,https://m.daojiale.com/cq/ershoufangPage?pageNo=16&areaId=1&saletotal=250-350,ok,20
2026-07-01T19:35:25,1,渝中,price,250-350万,17,https://m.daojiale.com/cq/ershoufangPage?pageNo=17&areaId=1&saletotal=250-350,ok,5
2026-07-01T19:35:27,1,渝中,price,350万及以上,1,https://m.daojiale.com/cq/ershoufangPage?pageNo=1&areaId=1&saletotal=350-%2A,ok,14
2026-07-01T19:35:28,1,渝中,price,350万及以上,2,https://m.daojiale.com/cq/ershoufangPage?pageNo=2&areaId=1&saletotal=350-%2A,ok,20
2026-07-01T19:35:29,1,渝中,price,350万及以上,3,https://m.daojiale.com/cq/ershoufangPage?pageNo=3&areaId=1&saletotal=350-%2A,ok,18
2026-07-01T19:35:30,1,渝中,price,350万及以上,4,https://m.daojiale.com/cq/ershoufangPage?pageNo=4&areaId=1&saletotal=350-%2A,ok,15
2026-07-01T19:35:31,1,渝中,price,350万及以上,5,https://m.daojiale.com/cq/ershoufangPage?pageNo=5&areaId=1&saletotal=350-%2A,ok,19
2026-07-01T19:35:32,1,渝中,price,350万及以上,6,https://m.daojiale.com/cq/ershoufangPage?pageNo=6&areaId=1&saletotal=350-%2A,ok,18
2026-07-01T19:35:33,1,渝中,price,350万及以上,7,https://m.daojiale.com/cq/ershoufangPage?pageNo=7&areaId=1&saletotal=350-%2A,ok,18
2026-07-01T19:35:34,1,渝中,price,350万及以上,8,https://m.daojiale.com/cq/ershoufangPage?pageNo=8&areaId=1&saletotal=350-%2A,ok,18
2026-07-01T19:35:35,1,渝中,price,350万及以上,9,https://m.daojiale.com/cq/ershoufangPage?pageNo=9&areaId=1&saletotal=350-%2A,ok,19
2026-07-01T19:35:37,1,渝中,price,350万及以上,10,https://m.daojiale.com/cq/ershoufangPage?pageNo=10&areaId=1&saletotal=350-%2A,ok,19
2026-07-01T19:35:38,1,渝中,price,350万及以上,11,https://m.daojiale.com/cq/ershoufangPage?pageNo=11&areaId=1&saletotal=350-%2A,ok,20
2026-07-01T19:35:39,1,渝中,price,350万及以上,12,https://m.daojiale.com/cq/ershoufangPage?pageNo=12&areaId=1&saletotal=350-%2A,ok,18
2026-07-01T19:35:40,1,渝中,price,350万及以上,13,https://m.daojiale.com/cq/ershoufangPage?pageNo=13&areaId=1&saletotal=350-%2A,ok,20
2026-07-01T19:35:41,1,渝中,price,350万及以上,14,https://m.daojiale.com/cq/ershoufangPage?pageNo=14&areaId=1&saletotal=350-%2A,ok,17
2026-07-01T19:35:42,1,渝中,price,350万及以上,15,https://m.daojiale.com/cq/ershoufangPage?pageNo=15&areaId=1&saletotal=350-%2A,ok,19
2026-07-01T19:35:43,1,渝中,price,350万及以上,16,https://m.daojiale.com/cq/ershoufangPage?pageNo=16&areaId=1&saletotal=350-%2A,ok,20
2026-07-01T19:35:44,1,渝中,price,350万及以上,17,https://m.daojiale.com/cq/ershoufangPage?pageNo=17&areaId=1&saletotal=350-%2A,ok,8
2026-07-01T19:35:45,1,渝中,room,一室,1,https://m.daojiale.com/cq/ershoufangPage?pageNo=1&areaId=1&fang=1,ok,0
2026-07-01T19:35:46,1,渝中,room,一室,2,https://m.daojiale.com/cq/ershoufangPage?pageNo=2&areaId=1&fang=1,ok,0
2026-07-01T19:35:48,1,渝中,room,一室,3,https://m.daojiale.com/cq/ershoufangPage?pageNo=3&areaId=1&fang=1,ok,0
2026-07-01T19:35:48,1,渝中,room,两室,1,https://m.daojiale.com/cq/ershoufangPage?pageNo=1&areaId=1&fang=2,ok,0
2026-07-01T19:35:49,1,渝中,room,两室,2,https://m.daojiale.com/cq/ershoufangPage?pageNo=2&areaId=1&fang=2,ok,0
2026-07-01T19:35:50,1,渝中,room,两室,3,https://m.daojiale.com/cq/ershoufangPage?pageNo=3&areaId=1&fang=2,ok,0
2026-07-01T19:35:50,1,渝中,room,三室,1,https://m.daojiale.com/cq/ershoufangPage?pageNo=1&areaId=1&fang=3,ok,0
2026-07-01T19:35:51,1,渝中,room,三室,2,https://m.daojiale.com/cq/ershoufangPage?pageNo=2&areaId=1&fang=3,ok,0
2026-07-01T19:35:52,1,渝中,room,三室,3,https://m.daojiale.com/cq/ershoufangPage?pageNo=3&areaId=1&fang=3,ok,0
2026-07-01T19:35:52,1,渝中,room,四室,1,https://m.daojiale.com/cq/ershoufangPage?pageNo=1&areaId=1&fang=4,ok,0
2026-07-01T19:35:53,1,渝中,room,四室,2,https://m.daojiale.com/cq/ershoufangPage?pageNo=2&areaId=1&fang=4,ok,1
2026-07-01T19:35:54,1,渝中,room,四室,3,https://m.daojiale.com/cq/ershoufangPage?pageNo=3&areaId=1&fang=4,ok,5
2026-07-01T19:35:56,1,渝中,room,四室,4,https://m.daojiale.com/cq/ershoufangPage?pageNo=4&areaId=1&fang=4,ok,4
2026-07-01T19:35:57,1,渝中,room,四室,5,https://m.daojiale.com/cq/ershoufangPage?pageNo=5&areaId=1&fang=4,ok,1
2026-07-01T19:35:58,1,渝中,room,四室,6,https://m.daojiale.com/cq/ershoufangPage?pageNo=6&areaId=1&fang=4,ok,2
2026-07-01T19:35:59,1,渝中,room,四室,7,https://m.daojiale.com/cq/ershoufangPage?pageNo=7&areaId=1&fang=4,ok,4
2026-07-01T19:36:00,1,渝中,room,四室,8,https://m.daojiale.com/cq/ershoufangPage?pageNo=8&areaId=1&fang=4,ok,1
2026-07-01T19:36:01,1,渝中,room,四室,9,https://m.daojiale.com/cq/ershoufangPage?pageNo=9&areaId=1&fang=4,ok,5
2026-07-01T19:36:02,1,渝中,room,四室,10,https://m.daojiale.com/cq/ershoufangPage?pageNo=10&areaId=1&fang=4,ok,5
2026-07-01T19:36:03,1,渝中,room,四室,11,https://m.daojiale.com/cq/ershoufangPage?pageNo=11&areaId=1&fang=4,ok,6
2026-07-01T19:36:04,1,渝中,room,四室,12,https://m.daojiale.com/cq/ershoufangPage?pageNo=12&areaId=1&fang=4,ok,1
2026-07-01T19:36:05,1,渝中,room,四室,13,https://m.daojiale.com/cq/ershoufangPage?pageNo=13&areaId=1&fang=4,ok,4
2026-07-01T19:36:07,1,渝中,room,四室,14,https://m.daojiale.com/cq/ershoufangPage?pageNo=14&areaId=1&fang=4,ok,6
2026-07-01T19:36:08,1,渝中,room,四室,15,https://m.daojiale.com/cq/ershoufangPage?pageNo=15&areaId=1&fang=4,ok,2
2026-07-01T19:36:09,1,渝中,room,四室,16,https://m.daojiale.com/cq/ershoufangPage?pageNo=16&areaId=1&fang=4,ok,6
2026-07-01T19:36:10,1,渝中,room,四室,17,https://m.daojiale.com/cq/ershoufangPage?pageNo=17&areaId=1&fang=4,ok,10
2026-07-01T19:36:11,1,渝中,room,四室,18,https://m.daojiale.com/cq/ershoufangPage?pageNo=18&areaId=1&fang=4,ok,2
2026-07-01T19:36:12,1,渝中,room,四室,19,https://m.daojiale.com/cq/ershoufangPage?pageNo=19&areaId=1&fang=4,ok,7
2026-07-01T19:36:13,1,渝中,room,四室,20,https://m.daojiale.com/cq/ershoufangPage?pageNo=20&areaId=1&fang=4,ok,6
2026-07-01T19:36:14,1,渝中,room,四室,21,https://m.daojiale.com/cq/ershoufangPage?pageNo=21&areaId=1&fang=4,ok,8
2026-07-01T19:36:15,1,渝中,room,四室,22,https://m.daojiale.com/cq/ershoufangPage?pageNo=22&areaId=1&fang=4,ok,9
2026-07-01T19:36:16,1,渝中,room,四室,23,https://m.daojiale.com/cq/ershoufangPage?pageNo=23&areaId=1&fang=4,ok,6
2026-07-01T19:36:17,1,渝中,room,四室,24,https://m.daojiale.com/cq/ershoufangPage?pageNo=24&areaId=1&fang=4,ok,5
